3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
72.9565 	EXP 	grating: autoDraw = False
73.0123 	EXP 	window1: recordFrameIntervals = False
73.0159 	DATA 	Keypress: right
73.0232 	EXP 	fixation: autoDraw = False
73.0232 	EXP 	grating: autoDraw = False
73.0236 	EXP 	window1: recordFrameIntervals = False
74.0017 	EXP 	fixation: autoDraw = True
75.0061 	EXP 	fixation: autoDraw = False
75.0229 	EXP 	grating: autoDraw = True
75.0229 	EXP 	grating: tex = 'sin'
75.3085 	EXP 	window1: recordFrameIntervals = False
75.3101 	DATA 	Keypress: right
75.3224 	EXP 	grating: autoDraw = False
75.3224 	EXP 	fixation: autoDraw = False
75.3224 	EXP 	grating: autoDraw = False
75.3226 	EXP 	window1: recordFrameIntervals = False
76.2997 	EXP 	fixation: autoDraw = True
77.3054 	EXP 	fixation: autoDraw = False
77.3225 	EXP 	grating: autoDraw = True
77.3225 	EXP 	grating: tex = 'sin'
77.6219 	EXP 	grating: autoDraw = False
77.6417 	EXP 	window1: recordFrameIntervals = False
77.6438 	DATA 	Keypress: left
77.6444 	DATA 	Keypress: right
77.6553 	EXP 	fixation: autoDraw = False
77.6553 	EXP 	grating: autoDraw = False
77.6556 	EXP 	window1: recordFrameIntervals = False
78.6329 	EXP 	fixation: autoDraw = True
79.6394 	EXP 	fixation: autoDraw = False
79.6551 	EXP 	grating: autoDraw = True
79.6551 	EXP 	grating: tex = 'sin'
79.9472 	EXP 	window1: recordFrameIntervals = False
79.9514 	DATA 	Keypress: right
79.9550 	EXP 	grating: autoDraw = False
79.9550 	EXP 	fixation: autoDraw = False
79.9550 	EXP 	grating: autoDraw = False
79.9556 	EXP 	window1: recordFrameIntervals = False
80.9373 	EXP 	fixation: autoDraw = True
81.9377 	EXP 	fixation: autoDraw = False
81.9545 	EXP 	grating: autoDraw = True
81.9545 	EXP 	grating: tex = 'sin'
82.2226 	EXP 	window1: recordFrameIntervals = False
82.2234 	DATA 	Keypress: left
82.2378 	EXP 	fixation: autoDraw = False
82.2378 	EXP 	grating: autoDraw = False
82.2381 	EXP 	window1: recordFrameIntervals = False
83.2147 	EXP 	fixation: autoDraw = True
84.2203 	EXP 	fixation: autoDraw = False
84.2370 	EXP 	grating: autoDraw = True
84.2370 	EXP 	grating: tex = 'sin'
84.5367 	EXP 	grating: autoDraw = False
84.5396 	EXP 	window1: recordFrameIntervals = False
84.5410 	DATA 	Keypress: left
84.5536 	EXP 	fixation: autoDraw = False
84.5536 	EXP 	grating: autoDraw = False
84.5537 	EXP 	window1: recordFrameIntervals = False
85.5326 	EXP 	fixation: autoDraw = True
86.5366 	EXP 	fixation: autoDraw = False
86.5537 	EXP 	grating: autoDraw = True
86.5537 	EXP 	grating: tex = 'sin'
86.8264 	EXP 	window1: recordFrameIntervals = False
86.8306 	DATA 	Keypress: right
86.8365 	EXP 	fixation: autoDraw = False
86.8365 	EXP 	grating: autoDraw = False
86.8370 	EXP 	window1: recordFrameIntervals = False
87.8176 	EXP 	fixation: autoDraw = True
88.8194 	EXP 	fixation: autoDraw = False
88.8363 	EXP 	grating: autoDraw = True
88.8363 	EXP 	grating: tex = 'sin'
89.1358 	EXP 	grating: autoDraw = False
89.2065 	EXP 	window1: recordFrameIntervals = False
89.2082 	DATA 	Keypress: right
89.2193 	EXP 	fixation: autoDraw = False
89.2193 	EXP 	grating: autoDraw = False
89.2196 	EXP 	window1: recordFrameIntervals = False
90.1984 	EXP 	fixation: autoDraw = True
91.2020 	EXP 	fixation: autoDraw = False
91.2188 	EXP 	grating: autoDraw = True
91.2188 	EXP 	grating: tex = 'sin'
91.4552 	EXP 	window1: recordFrameIntervals = False
91.4569 	DATA 	Keypress: right
91.4686 	EXP 	fixation: autoDraw = False
91.4686 	EXP 	grating: autoDraw = False
91.4687 	EXP 	window1: recordFrameIntervals = False
92.4466 	EXP 	fixation: autoDraw = True
93.4516 	EXP 	fixation: autoDraw = False
93.4684 	EXP 	grating: autoDraw = True
93.4684 	EXP 	grating: tex = 'sin'
93.6393 	EXP 	window1: recordFrameIntervals = False
93.6417 	DATA 	Keypress: right
93.6516 	EXP 	fixation: autoDraw = False
93.6516 	EXP 	grating: autoDraw = False
93.6520 	EXP 	window1: recordFrameIntervals = False
94.6293 	EXP 	fixation: autoDraw = True
95.6343 	EXP 	fixation: autoDraw = False
95.6512 	EXP 	grating: autoDraw = True
95.6512 	EXP 	grating: tex = 'sin'
95.9383 	DATA 	Keypress: right
95.9509 	EXP 	grating: autoDraw = False
