trials.label,trials.startVal,trials.stepsizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,4,db,1,1,0.0005645,160.2023394,160.2023394,160.5024077,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,4,db,1,1,0.0014438,162.6187108,162.6187108,162.9184974,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,4,db,0.630957344,1,0.0014485,164.984463,164.984463,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,4,db,0.630957344,1,0.0006638,167.2506759,167.2506759,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,4,db,1,0,0.0009702,169.51692,169.51692,169.8166686,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,4,db,1,1,0.0014351,171.8832804,171.8832804,172.1828441,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,4,db,1,1,0.0017709,174.1826585,174.1826585,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,4,db,1,0,0.0012129,176.4654162,176.4654162,176.7651551,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,4,db,1,1,0.0007285,178.7981339,178.7981339,179.098009,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,4,db,1,1,0.0015598,181.1142829,181.1142829,181.4139926,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,4,db,0.630957344,1,0.0014085,183.4135877,183.4135877,183.713405,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,4,db,0.630957344,1,0.0009752,185.7629367,185.7629367,186.0628137,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,4,db,0.630957344,1,0.0006106,188.1462522,188.1462522,188.4453171,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,4,db,1,0,0.0009067,190.5450204,190.5450204,190.8449535,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,4,db,1,0,0.001106,192.8444268,192.8444268,193.1444121,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,4,db,1,0,0.000929,195.1942994,195.1942994,195.4937815,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,up,4,db,1,1,0.0011943,197.4938285,197.4938285,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,up,4,db,1,0,0.0012591,199.7763915,199.7763915,200.0761774,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,up,4,db,1,0,0.000685,202.1090623,202.1090623,202.4087506,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,4,db,1,1,0.0008001,204.4418482,204.4418482,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,4,db,1,1,0.0006447,206.7246347,206.7246347,207.0245116,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,up,4,db,1,0,0.0005794,209.0408187,209.0408187,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,4,db,1,0,0.0008078,211.3238367,211.3238367,211.6233442,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,4,db,1,1,0.0005254,213.6729077,213.6729077,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,4,db,1,0,0.0005015,215.9392571,215.9392571,216.2388849,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
