2.8292 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
58.2418 	EXP 	grating: ori = -1.0
58.2418 	EXP 	fixation: autoDraw = True
59.2416 	EXP 	fixation: autoDraw = False
59.2416 	EXP 	grating: autoDraw = True
59.5415 	EXP 	grating: autoDraw = False
59.9443 	EXP 	New trial (rep=19, index=0): None
59.9456 	DATA 	Keypress: down
59.9581 	EXP 	fixation: autoDraw = False
59.9581 	EXP 	grating: autoDraw = False
59.9581 	EXP 	grating: ori = 2.0
59.9581 	EXP 	fixation: autoDraw = True
60.9581 	EXP 	fixation: autoDraw = False
60.9581 	EXP 	grating: autoDraw = True
61.2579 	EXP 	grating: autoDraw = False
61.5041 	EXP 	New trial (rep=20, index=0): None
61.5092 	DATA 	Keypress: up
61.5121 	EXP 	fixation: autoDraw = False
61.5121 	EXP 	grating: autoDraw = False
61.5121 	EXP 	grating: ori = 0.0
61.5121 	EXP 	fixation: autoDraw = True
62.5077 	EXP 	grating: autoDraw = True
62.5243 	EXP 	fixation: autoDraw = False
62.8076 	EXP 	grating: autoDraw = False
63.2311 	EXP 	New trial (rep=21, index=0): None
63.2338 	DATA 	Keypress: up
63.2407 	EXP 	fixation: autoDraw = False
63.2407 	EXP 	grating: autoDraw = False
63.2407 	EXP 	grating: ori = 0.0
63.2407 	EXP 	fixation: autoDraw = True
64.2406 	EXP 	fixation: autoDraw = False
64.2406 	EXP 	grating: autoDraw = True
64.5404 	EXP 	grating: autoDraw = False
64.9967 	EXP 	New trial (rep=22, index=0): None
64.9993 	DATA 	Keypress: down
65.0069 	EXP 	fixation: autoDraw = False
65.0069 	EXP 	grating: autoDraw = False
65.0069 	EXP 	grating: ori = -5.0
65.0069 	EXP 	fixation: autoDraw = True
66.0070 	EXP 	fixation: autoDraw = False
66.0070 	EXP 	grating: autoDraw = True
66.3069 	EXP 	grating: autoDraw = False
66.6312 	EXP 	New trial (rep=23, index=0): None
66.6345 	DATA 	Keypress: up
66.6401 	EXP 	fixation: autoDraw = False
66.6401 	EXP 	grating: autoDraw = False
66.6401 	EXP 	grating: ori = 0.0
66.6401 	EXP 	fixation: autoDraw = True
67.6399 	EXP 	fixation: autoDraw = False
67.6399 	EXP 	grating: autoDraw = True
67.9397 	EXP 	grating: autoDraw = False
68.2477 	EXP 	New trial (rep=24, index=0): None
68.2514 	DATA 	Keypress: up
68.2563 	EXP 	fixation: autoDraw = False
68.2563 	EXP 	grating: autoDraw = False
68.2563 	EXP 	grating: ori = 0.0
68.2563 	EXP 	fixation: autoDraw = True
69.2562 	EXP 	fixation: autoDraw = False
69.2562 	EXP 	grating: autoDraw = True
69.5560 	EXP 	grating: autoDraw = False
69.9160 	EXP 	New trial (rep=25, index=0): None
69.9203 	DATA 	Keypress: up
69.9233 	EXP 	fixation: autoDraw = False
69.9233 	EXP 	grating: autoDraw = False
69.9233 	EXP 	grating: ori = 0.0
69.9233 	EXP 	fixation: autoDraw = True
70.9226 	EXP 	fixation: autoDraw = False
70.9226 	EXP 	grating: autoDraw = True
71.2219 	EXP 	grating: autoDraw = False
71.5969 	EXP 	New trial (rep=26, index=0): None
71.6002 	DATA 	Keypress: up
71.6056 	EXP 	fixation: autoDraw = False
71.6056 	EXP 	grating: autoDraw = False
71.6056 	EXP 	grating: ori = 0.0
71.6056 	EXP 	fixation: autoDraw = True
72.6052 	EXP 	fixation: autoDraw = False
72.6052 	EXP 	grating: autoDraw = True
72.9052 	EXP 	grating: autoDraw = False
73.1454 	EXP 	New trial (rep=27, index=0): None
73.1483 	DATA 	Keypress: up
73.1552 	EXP 	fixation: autoDraw = False
73.1552 	EXP 	grating: autoDraw = False
73.1552 	EXP 	grating: ori = 0.0
73.1552 	EXP 	fixation: autoDraw = True
74.1550 	EXP 	fixation: autoDraw = False
74.1550 	EXP 	grating: autoDraw = True
74.4547 	EXP 	grating: autoDraw = False
74.8292 	EXP 	New trial (rep=28, index=0): None
74.8322 	DATA 	Keypress: down
74.8381 	EXP 	fixation: autoDraw = False
74.8381 	EXP 	grating: autoDraw = False
74.8381 	EXP 	grating: ori = 0.0
74.8381 	EXP 	fixation: autoDraw = True
75.8380 	EXP 	fixation: autoDraw = False
75.8380 	EXP 	grating: autoDraw = True
76.1378 	EXP 	grating: autoDraw = False
76.7445 	EXP 	New trial (rep=29, index=0): None
76.7473 	DATA 	Keypress: down
76.7543 	EXP 	fixation: autoDraw = False
76.7543 	EXP 	grating: autoDraw = False
76.7543 	EXP 	grating: ori = 0.0
76.7543 	EXP 	fixation: autoDraw = True
77.7541 	EXP 	fixation: autoDraw = False
77.7541 	EXP 	grating: autoDraw = True
78.0540 	EXP 	grating: autoDraw = False
78.5779 	EXP 	New trial (rep=30, index=0): None
78.5807 	DATA 	Keypress: down
78.5872 	EXP 	fixation: autoDraw = False
78.5872 	EXP 	grating: autoDraw = False
78.5872 	EXP 	grating: ori = 0.0
78.5872 	EXP 	fixation: autoDraw = True
79.5870 	EXP 	fixation: autoDraw = False
79.5870 	EXP 	grating: autoDraw = True
79.8868 	EXP 	grating: autoDraw = False
80.3436 	EXP 	New trial (rep=31, index=0): None
80.3464 	DATA 	Keypress: down
80.3535 	EXP 	fixation: autoDraw = False
80.3535 	EXP 	grating: autoDraw = False
80.3535 	EXP 	grating: ori = -2.0
80.3535 	EXP 	fixation: autoDraw = True
81.3533 	EXP 	fixation: autoDraw = False
81.3533 	EXP 	grating: autoDraw = True
81.6531 	EXP 	grating: autoDraw = False
81.9114 	EXP 	New trial (rep=32, index=0): None
81.9148 	DATA 	Keypress: down
81.9197 	EXP 	fixation: autoDraw = False
81.9197 	EXP 	grating: autoDraw = False
81.9197 	EXP 	grating: ori = 0.0
81.9197 	EXP 	fixation: autoDraw = True
82.9198 	EXP 	fixation: autoDraw = False
82.9198 	EXP 	grating: autoDraw = True
83.2194 	EXP 	grating: autoDraw = False
83.8440 	EXP 	New trial (rep=33, index=0): None
83.8474 	DATA 	Keypress: up
83.8527 	EXP 	fixation: autoDraw = False
83.8527 	EXP 	grating: autoDraw = False
83.8527 	EXP 	grating: ori = 0.0
83.8527 	EXP 	fixation: autoDraw = True
84.8526 	EXP 	fixation: autoDraw = False
84.8526 	EXP 	grating: autoDraw = True
85.1524 	EXP 	grating: autoDraw = False
85.4938 	EXP 	New trial (rep=34, index=0): None
85.4972 	DATA 	Keypress: up
85.5022 	EXP 	fixation: autoDraw = False
85.5022 	EXP 	grating: autoDraw = False
85.5022 	EXP 	grating: ori = 3.0
85.5022 	EXP 	fixation: autoDraw = True
86.5021 	EXP 	fixation: autoDraw = False
86.5021 	EXP 	grating: autoDraw = True
86.8021 	EXP 	grating: autoDraw = False
87.0930 	EXP 	New trial (rep=35, index=0): None
87.0962 	DATA 	Keypress: down
87.1019 	EXP 	fixation: autoDraw = False
87.1019 	EXP 	grating: autoDraw = False
87.1019 	EXP 	grating: ori = 0.0
87.1019 	EXP 	fixation: autoDraw = True
88.1017 	EXP 	fixation: autoDraw = False
88.1017 	EXP 	grating: autoDraw = True
88.4017 	EXP 	grating: autoDraw = False
89.0265 	EXP 	New trial (rep=36, index=0): None
89.0298 	DATA 	Keypress: up
89.0347 	EXP 	fixation: autoDraw = False
89.0347 	EXP 	grating: autoDraw = False
89.0347 	EXP 	grating: ori = -2.0
89.0347 	EXP 	fixation: autoDraw = True
90.0345 	EXP 	fixation: autoDraw = False
90.0345 	EXP 	grating: autoDraw = True
90.3344 	EXP 	grating: autoDraw = False
90.6551 	DATA 	Keypress: down
90.6760 	EXP 	New trial (rep=37, index=0): None
90.6845 	EXP 	fixation: autoDraw = False
90.6845 	EXP 	grating: autoDraw = False
90.6845 	EXP 	grating: ori = 3.0
90.6845 	EXP 	fixation: autoDraw = True
91.6841 	EXP 	fixation: autoDraw = False
91.6841 	EXP 	grating: autoDraw = True
91.9840 	EXP 	grating: autoDraw = False
92.3419 	EXP 	New trial (rep=38, index=0): None
92.3453 	DATA 	Keypress: up
92.3506 	EXP 	fixation: autoDraw = False
92.3506 	EXP 	grating: autoDraw = False
92.3506 	EXP 	grating: ori = 0.0
92.3506 	EXP 	fixation: autoDraw = True
93.3504 	EXP 	fixation: autoDraw = False
93.3504 	EXP 	grating: autoDraw = True
93.6503 	EXP 	grating: autoDraw = False
94.0931 	EXP 	New trial (rep=39, index=0): None
94.0973 	DATA 	Keypress: up
94.1002 	EXP 	fixation: autoDraw = False
94.1002 	EXP 	grating: autoDraw = False
94.1002 	EXP 	grating: ori = 1.0
94.1002 	EXP 	fixation: autoDraw = True
